CNTR_ID;A_GRNHOSE;A_RNVELE;A_WSTGEN;A_BLTUP;A_ENGY
FR;502428.00;16.60;534.00;9028.00;150771.20
AT;85034.00;65.50;552.00;1783.00;27341.70
BE;124440.00;11.10;456.00;2173.00;36596.50
BG;66650.00;17.00;460.00;1037.00;9240.90
CY;10091.00;4.90;663.00;231.00;1757.80
CZ;134526.00;11.60;308.00;1229.00;24056.40
DE;940287.00;23.60;611.00;9184.00;213076.50
DK;58767.00;38.70;668.00;1009.00;14122.30
EE;21061.00;15.80;279.00;195.00;2869.70
EL;117336.00;16.50;503.00;1394.00;17129.30
ES;364935.00;33.50;464.00;6268.00;83127.10
FI;68998.00;29.50;506.00;951.00;25259.70
HU;66834.00;6.10;402.00;1565.00;14811.00
IE;59608.00;19.60;570.00;842.00;10720.30
IT;498591.00;27.60;529.00;8188.00;119007.90
LT;21780.00;10.90;469.00;378.00;4831.50
LU;13328.00;4.60;662.00;69.00;4177.30
LV;11857.00;44.90;301.00;189.00;4027.10
MT;3355.00;1.10;589.00;60.00;461.20
NL;204864.00;10.50;551.00;1746.00;51133.10
PL;400748.00;10.70;314.00;4597.00;63635.40
PT;72721.00;47.60;453.00;2120.00;16151.60
RO;123736.00;33.60;389.00;2454.00;22698.00
SE;63752.00;60.00;462.00;1637.00;32375.80
SI;19579.00;31.40;362.00;158.00;4855.00
SK;45403.00;20.10;324.00;732.00;10346.80
UK;585864.00;10.80;472.00;5838.00;133990.10
